RETAILER_CODEMR,RETAILER_NAME,ADDRESS1,ADDRESS2,CITY,REGION,COUNTRY_CODE,PHONE,FAX,SEGMENT_CODE
1,Rock Steady,"45, rue Atwater",,Montréal,Québec,4,1 (514) 747-4481,1 (514) 741-2277,2
2,Ultra Sports,"2425, rue Peel",,Montréal,Québec,4,1 (514) 746-1273,1 (514) 747-2582,11
3,Mountain Madness,56 North Way Street,,Whitehorse,Yukon,4,1 (867) 667-6953,1 (867) 670-7293,7
4,VIP Department Stores,"Suite 125, 129th Street",,Vancouver,British Columbia,4,1 (604) 685-1544,1 (604) 682-3059,4
5,Falcon Outfitters,9755 Riverside Drive,,Ottawa,Ontario,4,1 (613) 741-5538,1 (613) 740-6701,1
6,Maximum Sports,"Suite 12, 801 Dundas Street",,Toronto,Ontario,4,1 (416) 495-1223,1 (416) 491-8738,12
7,Act'N'Up Fitness,"87, 2399 Sommerset Avenue",,Toronto,Ontario,4,1 (416) 496-9093,1 (416) 496-5066,8
8,Le Golfeur,"500, Place d'Armes",Bureau 1061,Montréal,Québec,4,1 (514) 747-9880,1 (514) 741-1610,3
9,Over the Top Cycles,23 Nowlan Drive,,Moncton,New Brunswick,4,1 (506) 849-8756,1 (506) 849-6432,7
10,Excellence en Montagne,"160, rue Moureaux",Bureau 410,Ville de Québec,Québec,4,1 (418) 653-6456,1 (418) 653-2311,2
11,Vacation Central,"3000, 58 Merivale Road",,Ottawa,Ontario,4,1 (613) 736-6443,1 (613) 736-5593,6
12,Outdoor Central Ltd,"Suite 23, 180 McKercher Drive",,Regina,Saskatchewan,4,1 (306) 243-8764,1 (306) 243-5213,2
13,Precipice Equipment,23 Blackcomb Way,,Whistler,British Columbia,4,1 (604) 938-7564,1 (604) 938-2324,1
14,Clear Valley Waters,12 9th Street,,Winnipeg,Manitoba,4,1 (204) 233-9587,1 (204) 233-7423,7
15,Eyewear 2000,1690 Barrington Street,,Halifax,Nova Scotia,4,1 (902) 490-6285,1 (902) 490-7125,10
16,Expert Fitness,"1250 Bow Trail, SW",,Calgary,Alberta,4,1 (403) 243-5606,1 (403) 243-5316,8
17,Andes Camping Supplies,11 Moose Road,,Banff,Alberta,4,1 (403) 762-8672,1 (403) 762-8091,2
18,Golfer's Paradise,34a 45th Avenue,,London,Ontario,4,1 (519) 652-8653,1 (519) 652-6734,3
19,Fresh Air Co,"Suite 1200, 25 53rd Street.",,Edmonton,Alberta,4,1 (403) 482-5634,1 (403) 482-3456,2
20,Mountaineering Gear,1599 Marine Drive,,West Vancouver,British Columbia,4,1 (604) 925-6573,1 (604) 925-0987,1
21,Boutique L'Aventure,"5403, rue Côte-des-Neiges",,Montréal,Québec,4,1 (514) 846-2645,1 (514) 846-2229,12
22,Clubhouse Sports,2400 Granville Street,,Vancouver,British Columbia,4,1 (604) 687-2719,1 (604) 687-2720,12
23,Der Fitness-Doktor,Porschestraße 54,,Bonn,,2,+(49) 221 663 431,+(49) 221 773 431,12
24,Sport & Freizeit,Kaiserstraße 37,,Dresden,,2,+(49) 351 616 132,+(49) 351 525 218,5
25,Holstein Golf,Jubelstraße 23,,Berlin,,2,+(49) 30 553 0999,+(49) 30 553 0892,3
26,Die Zeltstadt,Leibnitzstraße 53,,Kiel,,2,+(49) 431 185 242,+(49) 431 185 541,8
27,In die Berge!,Am Mainkai 17,,Frankfurt,,2,+(49) 69 122 1800,+(49) 69 122 1893,2
28,Weitblick,Händelstraße 81,,Bremen,,2,+(49) 421 623 154,+(49) 421 325 177,10
29,Der Camping-Laden,Märzenstraße 8,,Nürnberg,,2,+(49) 911 778 899,+(49) 911 667 788,2
30,Club und Freizeit GmbH,Lyoner Straße 99,,Aachen,,2,+(49) 231 506 241,+(49) 231 876 123,1
31,Aktive Freizeit,Wolf-Maier-Straße 28,,Passau,,2,+(49) 944 434 343,+(49) 944 429 182,9
32,Die Bergexperten,Gutenbergring 52,,Rüsselsheim,,2,+(49) 614 278 010,+(49) 614 278 011,7
33,Die Sportstube,Wabenweg 9,,Arnsberg,,2,+(49) 2931 234 700,+(49) 2931 230 700,12
34,Naturbewußt,Bahnstraße 15,,Ulm,,2,+(49) 621 875 643,+(49) 621 875 443,6
35,Die Camping-Halle,Kirchengasse 18,,München,,2,+(49) 89 432 8876,+(49) 89 532 1469,8
36,Der Camping-Spezialist,Volmestraße 77,,Bochum,,2,+(49) 234 853 325,+(49) 234 853 320,6
37,Super-Tourist,Graf-Otto-Platz 5-6,,Düsseldorf,,2,+(49) 211 484 971,+(49) 211 484 970,9
38,Schnelle Fitness,Hattinger Straße 112,Postfach 56 12,Karlsruhe,,2,+(49) 721 851 140,+(49) 721 851 149,9
39,Sport Aktuell,Schillerstraße 98,,Bonn,,2,+(49) 226 465 549,+(49) 225 416 632,11
40,Ins Freie!,Klöppelgasse 1,,Dortmund,,2,+(49) 231 885 342,+(49) 231 673 231,2
41,Zelte und mehr,Frauenhofer Straße 34,,Stuttgart,,2,+(49) 711 229 955,+(49) 711 338 866,9
42,Reisemarkt,Carl-Benz-Straße 103,,Duisburg,,2,+(49) 203 726 491,+(49) 203 627 282,8
43,Wanderliebe,Hofzeile 17,,Frankfurt,,2,+(49) 69 433 5681,+(49) 69 422 5792,9
44,Freizeit-Consult,Weimarer Straße 35,,Frankfurt,,2,+(49) 69 561 7745,+(49) 69 561 7748,7
45,Rad und Tat,Am Yachthafen 5,,Hamburg,,2,+(49) 40 666 6802,+(49) 40 666 1061,6
46,Zielmarkt,Kranstraße 11,,Düsseldorf,,2,+(49) 211 634 175,+(49) 211 777 438,8
47,Optik,Walpurgisplatz 11,,Hannover,,2,+(49) 511 826 113,+(49) 511 826 003,10
48,Superhike,Riedstraße 12,,Krefeld,,2,+(49) 215 122 084,+(49) 215 122 085,2
