ORDER_DETAIL_CODE,ORDER_NUMBER,PRODUCT_NUMBER,QUANTITY,UNIT_COST,UNIT_PRICE,UNIT_SALE_PRICE
47737,1638,1,84,4.38,6.59,6.59
47738,1159,1,126,4.38,6.59,6.59
47739,1171,1,122,4.38,6.59,6.03
47740,1154,1,122,4.38,6.59,6.59
47741,1205,1,272,4.38,6.59,5.26
47742,1161,1,232,4.38,6.59,5.42
47743,1529,1,104,4.38,6.59,6.59
47744,1167,1,130,4.38,6.59,6.03
47745,1532,1,50,4.38,6.59,6.59
47746,1526,2,170,9.64,12.53,12.53
47747,1153,2,100,9.64,12.53,11.81
47748,1637,2,42,9.64,12.53,12.53
47749,1620,2,120,9.64,12.53,12.53
47750,1170,2,84,9.64,12.53,12.53
47751,1635,2,46,9.64,12.53,12.53
47752,1197,2,140,9.64,12.53,12.53
47753,1155,2,58,9.64,12.53,12.53
47754,1205,2,102,9.64,12.53,12.53
47755,1525,2,44,9.64,12.53,12.53
47756,1169,3,76,17.25,23.8,22.17
47757,1332,3,64,17.25,23.8,22.17
47758,1592,3,102,17.25,23.8,23.8
47759,1527,3,128,17.25,23.8,22.17
47760,1523,3,72,17.25,23.8,23.8
47761,1206,3,98,17.25,23.8,23.8
47762,1158,3,80,17.25,23.8,22.17
47763,1525,3,84,17.25,23.8,23.8
47764,1201,4,126,5.23,7.32,7.32
47765,1170,4,118,5.23,7.32,7.32
47766,1205,4,160,5.23,7.32,7.32
47767,1167,4,84,5.23,7.32,6.8
47768,1474,4,58,5.23,7.32,6.8
47769,1338,4,48,5.23,7.32,6.8
47770,1202,4,154,5.23,7.32,7.32
47771,1337,4,136,5.23,7.32,6.8
47772,1617,5,52,38.4,54.93,54.93
47773,1411,5,44,38.4,54.93,50.79
47774,1529,5,42,38.4,54.93,54.93
47775,1160,5,54,38.4,54.93,54.93
47776,1472,5,52,38.4,54.93,54.93
47777,1339,5,62,38.4,54.93,54.93
47778,1336,5,40,38.4,54.93,54.93
47779,1635,6,22,92.0,129.72,129.72
47780,1445,6,16,92.0,129.72,120.3
47781,1170,6,12,92.0,129.72,129.72
47782,1530,6,14,92.0,129.72,129.72
47783,1415,6,20,92.0,129.72,129.72
47784,1193,6,16,92.0,129.72,129.72
47785,1413,7,38,48.38,66.77,62.18
47786,1169,7,46,48.38,66.77,62.18
47787,1202,7,40,48.38,66.77,66.77
47788,1617,7,40,48.38,66.77,66.77
47789,1592,7,32,48.38,66.77,66.77
47790,1529,7,20,48.38,66.77,66.77
47791,1531,7,40,48.38,66.77,66.77
47792,1173,8,50,88.23,151.77,151.77
47793,1156,8,64,88.23,151.77,151.77
47794,1591,8,56,88.23,151.77,151.77
47795,1202,8,32,88.23,151.77,151.77
47796,1413,8,40,88.23,151.77,135.88
47797,1201,8,28,88.23,151.77,151.77
47798,1445,8,54,88.23,151.77,135.88
47799,1157,8,44,88.23,151.77,135.88
47800,1198,9,22,9.93,13.22,13.22
47801,1169,9,52,9.93,13.22,12.4
47802,1171,9,28,9.93,13.22,12.4
47803,1172,9,24,9.93,13.22,13.22
47804,1527,9,36,9.93,13.22,12.4
47805,1167,9,32,9.93,13.22,12.4
47806,1202,9,18,9.93,13.22,13.22
47807,1411,9,6,9.93,13.22,12.4
47808,1530,9,44,9.93,13.22,13.22
47809,1338,10,106,11.35,19.29,17.3
47810,1333,10,36,11.35,19.29,19.29
47811,1576,10,62,11.35,19.29,19.29
47812,1336,10,38,11.35,19.29,19.29
47813,1414,10,18,11.35,19.29,19.29
47814,1410,10,14,11.35,19.29,19.29
47815,1526,10,78,11.35,19.29,19.29
47816,1168,10,40,11.35,19.29,17.3
47817,1446,10,28,11.35,19.29,17.3
47818,1333,11,78,264.38,370.13,324.48
47819,1339,11,90,264.38,370.13,351.39
47820,1620,11,20,264.38,370.13,370.13
47821,1415,11,14,264.38,370.13,370.13
47822,1168,11,74,264.38,370.13,343.69
47823,1531,11,68,264.38,370.13,362.13
47824,1466,11,38,264.38,370.13,370.13
47825,1206,12,214,500.67,650.89,650.89
47826,1193,12,124,500.67,650.89,573.88
47827,1332,12,154,500.67,650.89,613.34
47828,1414,12,40,500.67,650.89,620.21
47829,1573,12,110,500.67,650.89,637.61
47830,1590,12,210,500.67,650.89,650.89
47831,1531,12,246,500.67,650.89,650.89
47832,1160,13,78,431.42,582.41,532.26
47833,1336,13,116,431.42,582.41,582.41
47834,1202,13,124,431.42,582.41,519.98
47835,1167,13,60,431.42,582.41,544.66
47836,1161,13,96,431.42,582.41,526.46
47837,1168,13,116,431.42,582.41,544.66
47838,1471,13,66,431.42,582.41,544.66
47839,1473,13,108,431.42,582.41,544.66
47840,1339,14,180,541.63,677.03,663.77
47841,1638,14,68,541.63,677.03,576.89
47842,1524,14,68,541.63,677.03,643.19
47843,1336,14,176,541.63,677.03,597.11
47844,1468,14,122,541.63,677.03,659.91
47845,1198,14,90,541.63,677.03,604.88
47846,1200,14,84,541.63,677.03,641.83
47847,1527,14,180,541.63,677.03,643.19
47848,1414,14,64,541.63,677.03,578.45
47849,1412,15,54,554.59,831.88,675.88
47850,1594,15,96,554.59,831.88,730.58
47851,1588,15,44,554.59,831.88,813.46
47852,1474,15,80,554.59,831.88,762.55
47853,1524,15,86,554.59,831.88,762.55
47854,1167,15,60,554.59,831.88,762.55
47855,1468,15,20,554.59,831.88,697.71
47856,1615,15,48,554.59,831.88,720.72
47857,1200,16,244,1.02,2.06,2.06
47858,1592,16,276,1.02,2.06,2.06
47859,1471,16,334,1.02,2.06,1.8
47860,1413,16,330,1.02,2.06,1.8
47861,1173,16,222,1.02,2.06,2.06
47862,1337,16,398,1.02,2.06,1.8
47863,1524,17,100,64.36,90.09,83.66
47864,1162,17,62,64.36,90.09,90.09
47865,1615,17,84,64.36,90.09,90.09
47866,1202,17,102,64.36,90.09,90.09
47867,1332,17,102,64.36,90.09,83.66
47868,1467,17,114,64.36,90.09,90.09
47869,1194,17,92,64.36,90.09,90.09
47870,1170,17,118,64.36,90.09,90.09
47871,1444,18,110,97.87,146.83,134.58
47872,1615,18,68,97.87,146.83,146.83
47873,1173,18,168,97.87,146.83,110.91
47874,1206,18,104,97.87,146.83,110.19
47875,1524,18,164,97.87,146.83,134.58
47876,1573,18,106,97.87,146.83,118.16
47877,1194,18,66,97.87,146.83,146.83
47878,1445,18,58,97.87,146.83,134.58
47879,1161,18,88,97.87,146.83,132.83
47880,1169,19,44,165.72,265.14,240.28
47881,1443,19,84,165.72,265.14,260.11
47882,1157,19,74,165.72,265.14,240.28
47883,1532,19,52,165.72,265.14,233.02
47884,1620,19,94,165.72,265.14,265.14
47885,1171,19,60,165.72,265.14,240.28
47886,1194,19,72,165.72,265.14,192.82
47887,1446,19,58,165.72,265.14,240.28
47888,1413,19,40,165.72,265.14,240.28
47889,1473,19,72,165.72,265.14,240.28
47890,1531,20,58,90.91,127.27,127.27
47891,1197,20,78,90.91,127.27,127.27
47892,1446,20,38,90.91,127.27,118.19
47893,1618,20,74,90.91,127.27,127.27
47894,1339,20,70,90.91,127.27,127.27
47895,1526,20,26,90.91,127.27,127.27
47896,1532,20,34,90.91,127.27,127.27
47897,1169,20,20,90.91,127.27,118.19
47898,1635,20,24,90.91,127.27,127.27
47899,1620,21,32,33.88,40.65,40.65
47900,1158,21,52,33.88,40.65,38.97
47901,1336,21,54,33.88,40.65,40.65
47902,1472,21,46,33.88,40.65,40.65
47903,1170,21,36,33.88,40.65,40.65
47904,1172,21,44,33.88,40.65,40.65
47905,1473,21,54,33.88,40.65,38.97
47906,1637,22,12,11.77,17.65,17.65
47907,1474,22,16,11.77,17.65,16.19
47908,1590,22,16,11.77,17.65,17.65
47909,1636,22,12,11.77,17.65,17.65
47910,1162,22,28,11.77,17.65,17.65
47911,1193,22,26,11.77,17.65,17.65
47912,1167,22,16,11.77,17.65,16.19
47913,1529,22,14,11.77,17.65,17.65
47914,1411,22,4,11.77,17.65,16.19
47915,1410,23,18,69.66,104.48,104.48
47916,1638,23,6,69.66,104.48,104.48
47917,1332,23,16,69.66,104.48,95.77
47918,1415,23,24,69.66,104.48,104.48
47919,1333,23,20,69.66,104.48,104.48
47920,1167,23,20,69.66,104.48,95.77
47921,1576,23,16,69.66,104.48,104.48
47922,1471,23,24,69.66,104.48,95.77
47923,1529,24,46,64.05,76.86,76.86
47924,1176,24,80,64.05,76.86,76.86
47925,1531,24,76,64.05,76.86,76.86
47926,1474,24,86,64.05,76.86,73.66
47927,1446,24,108,64.05,76.86,73.66
47928,1636,24,40,64.05,76.86,76.86
47929,1414,24,140,64.05,76.86,74.27
47930,1478,24,72,64.05,76.86,73.66
47931,1186,25,54,190.6,285.89,285.89
47932,1201,25,48,190.6,285.89,285.89
47933,1339,25,62,190.6,285.89,285.89
47934,1413,25,66,190.6,285.89,262.07
47935,1469,25,76,190.6,285.89,266.98
47936,1202,25,64,190.6,285.89,285.89
47937,1524,26,42,247.25,370.86,339.97
47938,1193,26,50,247.25,370.86,333.23
47939,1338,26,40,247.25,370.86,339.97
47940,1573,26,52,247.25,370.86,349.27
47941,1158,26,32,247.25,370.86,339.97
47942,1443,26,50,247.25,370.86,342.07
47943,1174,26,56,247.25,370.86,278.32
47944,1532,27,38,255.85,460.52,460.52
47945,1620,27,42,255.85,460.52,460.52
47946,1338,27,12,255.85,460.52,409.35
47947,1473,27,14,255.85,460.52,409.35
47948,1412,27,20,255.85,460.52,460.52
47949,1331,27,16,255.85,460.52,460.52
47950,1444,27,36,255.85,460.52,409.35
47951,1573,27,10,255.85,460.52,460.52
47952,1531,27,12,255.85,460.52,460.52
47953,1167,27,22,255.85,460.52,409.35
47954,1638,27,12,255.85,460.52,460.52
47955,1154,27,14,255.85,460.52,460.52
47956,1344,28,92,26.87,33.59,33.59
47957,1537,28,96,26.87,33.59,33.59
47958,1159,28,100,26.87,33.59,33.59
47959,1188,28,66,26.87,33.59,31.92
47960,1444,28,102,26.87,33.59,31.92
47961,1161,28,30,26.87,33.59,33.59
47962,1172,28,36,26.87,33.59,33.59
47963,1592,29,94,43.22,73.5,73.5
47964,1180,29,74,43.22,73.5,73.5
47965,1536,29,28,43.22,73.5,65.93
47966,1184,29,34,43.22,73.5,73.5
47967,1179,29,74,43.22,73.5,73.5
47968,1472,29,48,43.22,73.5,73.5
47969,1176,29,78,43.22,73.5,73.5
47970,1178,29,50,43.22,73.5,73.5
47971,1482,29,58,43.22,73.5,73.5
