ORDER_NUMBER,RETAILER_NAME,RETAILER_SITE_CODE,RETAILER_CONTACT_CODE,SALES_STAFF_CODE,SALES_BRANCH_CODE,ORDER_DATE,ORDER_METHOD_CODE
1153,Ultra Sports,4,6,50,18,2022-04-14,7
1154,Ultra Sports,4,6,50,18,2022-10-01,4
1155,Ultra Sports,5,65,49,18,2022-04-21,7
1156,Ultra Sports,5,65,49,18,2022-09-09,5
1157,Ultra Sports,6,66,50,18,2022-04-10,2
1158,Ultra Sports,6,66,50,18,2022-10-06,4
1159,VIP Department Stores,9,68,50,18,2022-04-05,7
1160,VIP Department Stores,9,68,51,18,2022-09-28,5
1161,VIP Department Stores,13,70,49,18,2022-03-27,1
1162,VIP Department Stores,13,70,49,18,2022-10-25,4
1163,Le Golfeur,14,10,49,18,2022-03-20,5
1164,Le Golfeur,14,10,49,18,2022-09-12,7
1165,Sunglass Corner,16,72,50,18,2022-03-22,7
1167,Falcon Outfitters,17,73,50,18,2022-03-14,7
1168,Falcon Outfitters,17,73,50,18,2022-10-11,5
1169,Falcon Outfitters,18,74,50,18,2022-04-25,5
1170,Falcon Outfitters,18,74,50,18,2022-10-23,2
1171,Falcon Outfitters,19,4,50,18,2022-04-16,3
1172,Falcon Outfitters,19,4,50,18,2022-09-23,1
1173,Falcon Outfitters,20,17,51,18,2022-03-27,7
1174,Falcon Outfitters,20,17,51,18,2022-09-26,2
1175,Maximum Sports,22,75,51,18,2022-04-08,4
1176,Maximum Sports,22,75,51,18,2022-10-13,7
1177,Maximum Sports,23,5,51,18,2022-03-18,8
1178,Maximum Sports,23,5,49,18,2022-09-30,7
1179,Maximum Sports,24,76,49,18,2022-04-02,2
1180,Maximum Sports,24,76,50,18,2022-10-17,2
1181,Maximum Sports,25,11,50,18,2022-03-20,4
1182,Maximum Sports,25,11,50,18,2022-09-27,7
1184,Maximum Sports,26,77,50,18,2022-09-18,3
1185,Act'N'Up Fitness,27,13,49,18,2022-04-09,2
1186,Act'N'Up Fitness,27,13,49,18,2022-09-19,1
1187,Act'N'Up Fitness,29,15,50,18,2022-03-20,3
1188,Act'N'Up Fitness,29,15,50,18,2022-09-30,2
1189,Act'N'Up Fitness,30,14,50,18,2022-03-24,2
1190,Act'N'Up Fitness,30,14,50,18,2022-09-29,1
1191,Rock Steady,1,30,46,17,2022-04-23,7
1193,Ultra Sports,7,23,44,17,2022-04-07,7
1194,Ultra Sports,7,23,44,17,2022-10-09,2
1197,VIP Department Stores,10,9,43,17,2022-04-25,1
1198,VIP Department Stores,10,9,43,17,2022-10-25,7
