PRODUCT_NUMBER,INTRODUCTION_DATE,PRODUCT_TYPE_CODE,PRODUCTION_COST,MARGIN,PRODUCT_IMAGE,LANGUAGE,PRODUCT_NAME,DESCRIPTION
1,1995-02-15,1,4.0,0.33,P01CE1CG1.jpg,EN,TrailChef Water Bag,"Lightweight, collapsible bag to carry liquids easily.  Wide mouth for easy filling.  Holds 10 liters."
2,1995-02-15,1,9.22,0.23,P02CE1CG1.jpg,EN,TrailChef Canteen,"Aluminum canteen. Rugged fleece-lined cover with belt clips, removable shoulder sling and small pocket for water purification tablets bottle. Holds 2 liters"
3,1995-02-15,1,15.93,0.28,P03CE1CG1.jpg,EN,TrailChef Kitchen Kit,"Zippered nylon pouch contains cutlery for two, can opener, wire whisk, scrubber sponge, 2  60 ml squirt bottles, pancake turner and salt and pepper shaker.  Measures 10 x 22 x 5 cm."
4,1995-02-15,1,5.0,0.28,P04CE1CG1.jpg,EN,TrailChef Cup,Tin cup. Holds 0.4 liters. Weight: 60 g
5,1995-02-15,1,34.97,0.3,P05CE1CG1.jpg,EN,TrailChef Cook Set,All you will ever need on the trail.  Pot gripper and nylon carrying bag included.  1.5 and 2 liter pots with individual lids. Weight: 750 g.
6,1997-03-05,1,85.11,0.28,P06CE1CG1.jpg,EN,TrailChef Deluxe Cook Set,"Cascade set features 1, 2, and 3 liter pots with individual lids that double as fry pans or plates. Pot gripper and nylon carrying bag included.  Weight: 1.4 kg."
7,1995-02-15,1,46.38,0.28,P07CE1CG1.jpg,EN,TrailChef Single Flame,"A single burner stove with integral tank.  It features precise flame control so you will never have to settle for burnt camp food again.  Weight 624 g, fuel is white gas."
8,1997-03-05,1,75.0,0.41,P08CE1CG1.jpg,EN,TrailChef Double Flame,"The TrailChef Double Flame is a camp stove which attaches directly to fuel canisters. Features precise flame control and a built-in windscreen.  Weight is 850 g, fuel is propane."
9,1997-03-05,1,9.0,0.25,P09CE1CG1.jpg,EN,TrailChef Kettle,"This old-fashioned style kettle is made of durable enamel.  Weight: 350g, Holds 1.5 liters."
10,1995-02-15,1,10.0,0.4,P10CE1CG1.jpg,EN,TrailChef Utensils,"Spoon, fork and knife set made of a light yet strong metal alloy.  Carrying pouch included."
11,1995-02-15,2,250.0,0.28,P11CE1TN2.jpg,EN,Star Lite,"A perfect tent for biking and hiking trips, compact and very light.  Features three shock cord aluminum poles, and three large mesh windows.  Packed size: 15 x 40 cm. Weight: 0.5 kg."
12,1997-03-05,2,473.07,0.23,P12CE1TN2.jpg,EN,Star Dome,"Four pole geodesic dome mountain tent that comfortably fits two to three people. 10 mm aluminum poles, mesh pole sleeves and taped seams.  Packed size: 22 x 63 cm. Weight: 4.8 kg."
13,1995-02-15,2,392.57,0.25,P13CE1TN2.jpg,EN,Star Gazer 2,The Star Gazer 2 is the Great Outdoor's most versatile tent.  It is a large two-person tent that is both durable and light weight.  Packed size: 18 x 70 cm. Weight: 2.6 kg.
14,1997-03-05,2,476.0,0.2,P14CE1TN2.jpg,EN,Star Gazer 3,"The Star Gazer 3 features a water proof fly, mesh window and two doors for good ventilation.  Packed size: 20 x 70 cm. Weight: 5.3 kg."
15,1997-03-05,2,490.0,0.33,P15CE1TN2.jpg,EN,Star Gazer 6,"Massive cabin tent has ample room for six people. Mesh door and vent, T-style door.  Four side windows with storm flaps and three carry bags for tent and poles."
16,1997-03-05,2,1.0,0.5,P16CE1TN2.jpg,EN,Star Peg,"A single tent peg made of heavy-duty plated steel. Long enough even for hard, rocky ground. Length: 25 cm"
17,1997-03-05,3,60.0,0.28,P17CE1SB3.jpg,EN,Hibernator Lite,The Hibernator Lite is the perfect summer sleeping bag.  Light weight and comfortable down to 10¦C.  The rectangular shape allows for easy pairing.  Weight with stuff sack: 1.0 kg.
18,1995-02-15,3,86.0,0.33,P17CE1SB3.jpg,EN,Hibernator,The Hibernator is a three-season sleeping bag. The rectangular shape allows for easy pairing. Nylon shell material.  8 cm loft.  Comfortable down to 0¦C.  One size fits up to 195 cm.
19,2000-10-26,3,150.0,0.37,P19CE1SB3.jpg,EN,Hibernator Extreme,"The Hibernator Extreme has all the features you need for four-season comfort.  Comfortable from -18¦ to 9¦C. Silk comfort lining, nylon shell. Fits users to 195 cm, stuff sack included."
20,1997-03-05,3,78.55,0.28,P20CE1SB3.jpg,EN,Hibernator Self - Inflating Mat,Mattress is made of extra-thick foam. Mesh stuff sack included for easy carrying and storage. Repair kit included.
21,1995-02-15,3,29.17,0.17,P21CE1SB3.jpg,EN,Hibernator Pad,Warms up quickly for snow camping comfort. The Hibernator Pad will resist cracking in temperatures as low as -30¦C.
22,1995-02-15,3,10.0,0.33,P22CE1SB3.jpg,EN,Hibernator Pillow,"Camp pillow is filled with soft, luxurious fibers for maximum compactness and resiliency. Covered with soft cotton on one side and soft flannel on the other."
23,1997-03-05,3,65.33,0.33,P23CE1SB3.jpg,EN,Hibernator Camp Cot,Aluminum frame camp cot that is lightweight and durable.  Size: 100 x 225 x 50 cm.  Weight: 7 kg.
24,1997-03-05,4,62.5,0.17,P24CE1PK4.jpg,EN,Canyon Mule Climber Backpack,"This pack is perfect for day trips and short hikes. Also great for students.  Separate front compartment, multi-layered interior organizer, 2 cm waist belt, 32,000 cu. cm."
25,1995-02-15,4,166.66,0.33,P25CE1PK4.jpg,EN,Canyon Mule Weekender Backpack,"A weekend getaway requires this pack.  It features a large front compression pocket, harness and waist belt, foam molded back panel, vinyl covered gear loops.  50,000 cu. cm."
26,1995-02-15,4,213.33,0.33,P26CE1PK4.jpg,EN,Canyon Mule Journey Backpack,"Set of three packs: handlebar pack, front pack and rear pack.  Designed to fit most mountain bikes.  Includes mounting hardware.  Total volume: 66,000 cu. cm."
27,1997-03-05,4,238.88,0.43,P27CE1PK4.jpg,EN,Canyon Mule Extreme Backpack,"Perfect for long back country trips, this pack features an expandable front pocket, includes a large sleeping bag compartment, padded shoulder harness, back and waist belt. 90,000 cu. cm."
28,1995-02-15,4,24.0,0.2,P28CE1PK4.jpg,EN,Canyon Mule Cooler,"A durable plastic cooler with hinged top, perfect for storing small items. Size:100 x 50 x 50 cm."
